title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,source
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2xOBiq7NMvSBqlDQjVvOek,0.751,0.351,5,-9.674,0,0.0497,0.0266,0.902,0.136,0.431,116.694,audio_features,2xOBiq7NMvSBqlDQjVvOek,spotify:track:2xOBiq7NMvSBqlDQjVvOek,https://api.spotify.com/v1/tracks/2xOBiq7NMvSBqlDQjVvOek,https://api.spotify.com/v1/audio-analysis/2xOBiq7NMvSBqlDQjVvOek,182667,4,H
Calm Down,Rema & Selena Gomez,6BRtWlr1VmsiPjIFnvg9Qv,0.708,0.475,1,-6.402,0,0.0403,0.229,1.17e-05,0.0465,0.162,124.846,audio_features,6BRtWlr1VmsiPjIFnvg9Qv,spotify:track:6BRtWlr1VmsiPjIFnvg9Qv,https://api.spotify.com/v1/tracks/6BRtWlr1VmsiPjIFnvg9Qv,https://api.spotify.com/v1/audio-analysis/6BRtWlr1VmsiPjIFnvg9Qv,190078,4,H
Last Night,Morgan Wallen,5gfPJ45gpn3ThswDyeW0Qc,0.888,0.833,3,-4.381,0,0.0912,0.256,0.00159,0.485,0.962,121.002,audio_features,5gfPJ45gpn3ThswDyeW0Qc,spotify:track:5gfPJ45gpn3ThswDyeW0Qc,https://api.spotify.com/v1/tracks/5gfPJ45gpn3ThswDyeW0Qc,https://api.spotify.com/v1/audio-analysis/5gfPJ45gpn3ThswDyeW0Qc,388226,4,H
Until I Found You,Stephen Sanchez,6VhuP99TE6gYNQRJIlAWFD,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,audio_features,6VhuP99TE6gYNQRJIlAWFD,spotify:track:6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/tracks/6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/audio-analysis/6VhuP99TE6gYNQRJIlAWFD,176667,3,H
Wait In The Truck,HARDY Featuring Lainey Wilson,7vsjRWuOxWYa20jZbtMqu0,0.515,0.189,6,-21.907,1,0.0379,0.475,0.897,0.112,0.0657,70.299,audio_features,7vsjRWuOxWYa20jZbtMqu0,spotify:track:7vsjRWuOxWYa20jZbtMqu0,https://api.spotify.com/v1/tracks/7vsjRWuOxWYa20jZbtMqu0,https://api.spotify.com/v1/audio-analysis/7vsjRWuOxWYa20jZbtMqu0,278334,4,H
The Kind Of Love We Make,Luke Combs,78Tn2vzu5tAClU4b3I58ME,0.507,0.499,1,-10.771,1,0.028,0.0244,0.912,0.104,0.563,204.008,audio_features,78Tn2vzu5tAClU4b3I58ME,spotify:track:78Tn2vzu5tAClU4b3I58ME,https://api.spotify.com/v1/tracks/78Tn2vzu5tAClU4b3I58ME,https://api.spotify.com/v1/audio-analysis/78Tn2vzu5tAClU4b3I58ME,223246,4,H
I Like You (A Happier Song),Post Malone Featuring Doja Cat,6f7BE3VcZScJx6n3wsf5Z3,0.48,0.526,5,-7.099,1,0.275,0.071,0.0,0.0879,0.374,199.662,audio_features,6f7BE3VcZScJx6n3wsf5Z3,spotify:track:6f7BE3VcZScJx6n3wsf5Z3,https://api.spotify.com/v1/tracks/6f7BE3VcZScJx6n3wsf5Z3,https://api.spotify.com/v1/audio-analysis/6f7BE3VcZScJx6n3wsf5Z3,267733,3,H
Shirt,SZA,4NLBrPnLcOgyoOUFmRsDbt,0.831,0.5,3,-7.941,0,0.0965,0.24,0.00682,0.0898,0.532,120.013,audio_features,4NLBrPnLcOgyoOUFmRsDbt,spotify:track:4NLBrPnLcOgyoOUFmRsDbt,https://api.spotify.com/v1/tracks/4NLBrPnLcOgyoOUFmRsDbt,https://api.spotify.com/v1/audio-analysis/4NLBrPnLcOgyoOUFmRsDbt,181840,4,H
Heart Like A Truck,Lainey Wilson,3YaTU6ysrQHdpocY4PExjB,0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,139.974,audio_features,3YaTU6ysrQHdpocY4PExjB,spotify:track:3YaTU6ysrQHdpocY4PExjB,https://api.spotify.com/v1/tracks/3YaTU6ysrQHdpocY4PExjB,https://api.spotify.com/v1/audio-analysis/3YaTU6ysrQHdpocY4PExjB,199040,4,H
Wait For U,Future Featuring Drake & Tems,4du1sHf5pUhdEEwqtmOAi2,0.652,0.243,1,-11.868,1,0.034,0.946,0.034,0.11,0.193,136.007,audio_features,4du1sHf5pUhdEEwqtmOAi2,spotify:track:4du1sHf5pUhdEEwqtmOAi2,https://api.spotify.com/v1/tracks/4du1sHf5pUhdEEwqtmOAi2,https://api.spotify.com/v1/audio-analysis/4du1sHf5pUhdEEwqtmOAi2,193936,4,H
Snooze,SZA,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4,H
Sure Thing,Miguel,4VCbKkAKlEQrGJ4yO9SsSS,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,4VCbKkAKlEQrGJ4yO9SsSS,spotify:track:4VCbKkAKlEQrGJ4yO9SsSS,https://api.spotify.com/v1/tracks/4VCbKkAKlEQrGJ4yO9SsSS,https://api.spotify.com/v1/audio-analysis/4VCbKkAKlEQrGJ4yO9SsSS,195373,4,H
Bebe Dame,Fuerza Regida X Grupo Frontera,5x3RvunGAJ3Ws7r5yhFKeB,0.651,0.423,7,-11.99,1,0.0494,0.057,0.0,0.186,0.782,143.894,audio_features,5x3RvunGAJ3Ws7r5yhFKeB,spotify:track:5x3RvunGAJ3Ws7r5yhFKeB,https://api.spotify.com/v1/tracks/5x3RvunGAJ3Ws7r5yhFKeB,https://api.spotify.com/v1/audio-analysis/5x3RvunGAJ3Ws7r5yhFKeB,187929,4,H
Players,Coi Leray,10RmUrJ28kkj7XgekcfZpc,0.952,0.507,6,-5.742,0,0.168,0.038,3.29e-05,0.0511,0.609,104.981,audio_features,10RmUrJ28kkj7XgekcfZpc,spotify:track:10RmUrJ28kkj7XgekcfZpc,https://api.spotify.com/v1/tracks/10RmUrJ28kkj7XgekcfZpc,https://api.spotify.com/v1/audio-analysis/10RmUrJ28kkj7XgekcfZpc,139560,4,H
Tomorrow 2,GloRilla & Cardi B,2RkyV0KXNLstEKn2qb1KZ6,0.638,0.736,0,-5.13,1,0.537,0.0655,0.0,0.0883,0.785,159.852,audio_features,2RkyV0KXNLstEKn2qb1KZ6,spotify:track:2RkyV0KXNLstEKn2qb1KZ6,https://api.spotify.com/v1/tracks/2RkyV0KXNLstEKn2qb1KZ6,https://api.spotify.com/v1/audio-analysis/2RkyV0KXNLstEKn2qb1KZ6,113845,4,H
Love Again,The Kid LAROI,6ncsVXsY8FaxpK5yg1eMHI,0.643,0.417,4,-10.155,1,0.186,0.809,0.0147,0.168,0.355,94.435,audio_features,6ncsVXsY8FaxpK5yg1eMHI,spotify:track:6ncsVXsY8FaxpK5yg1eMHI,https://api.spotify.com/v1/tracks/6ncsVXsY8FaxpK5yg1eMHI,https://api.spotify.com/v1/audio-analysis/6ncsVXsY8FaxpK5yg1eMHI,89340,4,H
She Had Me At Heads Carolina,Cole Swindell,143NxyffZRHXdVD1MaO5u3,0.65,0.67,8,-3.047,1,0.0308,0.774,0.0,0.0966,0.655,132.984,audio_features,143NxyffZRHXdVD1MaO5u3,spotify:track:143NxyffZRHXdVD1MaO5u3,https://api.spotify.com/v1/tracks/143NxyffZRHXdVD1MaO5u3,https://api.spotify.com/v1/audio-analysis/143NxyffZRHXdVD1MaO5u3,196307,4,H
Dawns,Zach Bryan Featuring Maggie Rogers,4soHgvFd9yGVrzTe9TROWl,0.727,0.164,6,-17.936,1,0.928,0.762,0.0,0.108,0.297,118.57,audio_features,4soHgvFd9yGVrzTe9TROWl,spotify:track:4soHgvFd9yGVrzTe9TROWl,https://api.spotify.com/v1/tracks/4soHgvFd9yGVrzTe9TROWl,https://api.spotify.com/v1/audio-analysis/4soHgvFd9yGVrzTe9TROWl,246733,3,H
Whiskey On You,Nate Smith,32ftcUIP8p7zmZT5vLBfy1,0.604,0.537,8,-10.459,1,0.0282,0.000729,0.85,0.0878,0.608,109.976,audio_features,32ftcUIP8p7zmZT5vLBfy1,spotify:track:32ftcUIP8p7zmZT5vLBfy1,https://api.spotify.com/v1/tracks/32ftcUIP8p7zmZT5vLBfy1,https://api.spotify.com/v1/audio-analysis/32ftcUIP8p7zmZT5vLBfy1,185477,4,H
Super Freaky Girl,Nicki Minaj,4dFKEyGrwmIimMqwYleFOR,0.88,0.777,2,-4.465,1,0.256,0.102,0.0,0.37,0.88,132.982,audio_features,4dFKEyGrwmIimMqwYleFOR,spotify:track:4dFKEyGrwmIimMqwYleFOR,https://api.spotify.com/v1/tracks/4dFKEyGrwmIimMqwYleFOR,https://api.spotify.com/v1/audio-analysis/4dFKEyGrwmIimMqwYleFOR,234900,4,H
Nobody Gets Me,SZA,0njT9NV9xsV4hLkgZ8yOUD,0.613,0.665,1,-6.438,1,0.089,0.233,0.00025,0.0618,0.595,143.856,audio_features,0njT9NV9xsV4hLkgZ8yOUD,spotify:track:0njT9NV9xsV4hLkgZ8yOUD,https://api.spotify.com/v1/tracks/0njT9NV9xsV4hLkgZ8yOUD,https://api.spotify.com/v1/audio-analysis/0njT9NV9xsV4hLkgZ8yOUD,369160,4,H
